,Station,Depth,Filter,MGT,Transcripts,Gene,Ocean_and_sea_regions,Reads_per_Kb_per_million_mapped_reads
162,135,SRF,0.8 to 5,178,3.35e-08,alma1,North Pacific Ocean,33.5
163,135,SRF,0.8 to 5,24,0.0,alma1,North Pacific Ocean,0.0
164,135,SRF,0.8 to 5,13,2.45e-08,alma1,North Pacific Ocean,24.5
165,135,SRF,0.8 to 5,66,0.0,alma1,North Pacific Ocean,0.0
166,135,SRF,0.8 to 5,2743,0.0,alma1,North Pacific Ocean,0.0
167,135,SRF,0.8 to 5,179,0.0,alma1,North Pacific Ocean,0.0
168,22,SRF,5 to 20,35,3.41e-07,alma1,Mediterranean Sea,341.0
169,22,SRF,5 to 20,12,1.56e-07,alma1,Mediterranean Sea,156.0
170,18,SRF,20 to 180,12,1.15e-07,alma1,Mediterranean Sea,115.0
171,149,SRF,5 to 20,1255,0.0,alma1,North Atlantic Ocean,0.0
172,149,SRF,5 to 20,58,0.0,alma1,North Atlantic Ocean,0.0
173,149,SRF,5 to 20,1580,1.41e-07,alma1,North Atlantic Ocean,141.0
174,149,SRF,5 to 20,2493,4.37e-08,alma1,North Atlantic Ocean,43.7
175,36,SRF,180 to 2000,179,0.0,alma1,Indian Ocean,0.0
176,36,SRF,180 to 2000,44,0.0,alma1,Indian Ocean,0.0
177,36,SRF,180 to 2000,166,0.0,alma1,Indian Ocean,0.0
178,135,SRF,5 to 20,188,0.0,alma1,North Pacific Ocean,0.0
179,135,SRF,5 to 20,166,0.0,alma1,North Pacific Ocean,0.0
180,135,SRF,5 to 20,36,2.15e-08,alma1,North Pacific Ocean,21.5
181,135,SRF,5 to 20,58,6.19e-08,alma1,North Pacific Ocean,61.900000000000006
182,135,SRF,5 to 20,1255,0.0,alma1,North Pacific Ocean,0.0
183,135,SRF,5 to 20,38,0.0,alma1,North Pacific Ocean,0.0
184,135,SRF,5 to 20,44,0.0,alma1,North Pacific Ocean,0.0
185,135,SRF,5 to 20,59,0.0,alma1,North Pacific Ocean,0.0
186,135,SRF,5 to 20,1580,4.0099999999999995e-08,alma1,North Pacific Ocean,40.099999999999994
187,135,SRF,5 to 20,66,0.0,alma1,North Pacific Ocean,0.0
188,135,SRF,5 to 20,179,0.0,alma1,North Pacific Ocean,0.0
189,150,DCM,180 to 2000,2493,2.97e-08,alma1,North Atlantic Ocean,29.700000000000003
190,142,SRF,180 to 2000,2493,4.35e-08,alma1,North Atlantic Ocean,43.5
191,111,DCM,180 to 2000,2493,4.12e-08,alma1,South Pacific Ocean,41.199999999999996
192,111,DCM,180 to 2000,44,0.0,alma1,South Pacific Ocean,0.0
193,92,SRF,20 to 180,58,0.0,alma1,South Pacific Ocean,0.0
194,92,SRF,180 to 2000,58,0.0,alma1,South Pacific Ocean,0.0
195,92,SRF,180 to 2000,44,0.0,alma1,South Pacific Ocean,0.0
196,131,DCM,0.8 to 5,58,3.68e-08,alma1,North Pacific Ocean,36.8
197,131,DCM,0.8 to 5,4,0.0,alma1,North Pacific Ocean,0.0
198,131,DCM,0.8 to 5,225,0.0,alma1,North Pacific Ocean,0.0
199,131,DCM,0.8 to 5,166,0.0,alma1,North Pacific Ocean,0.0
200,131,DCM,0.8 to 5,36,7.46e-08,alma1,North Pacific Ocean,74.60000000000001
201,131,DCM,0.8 to 5,66,0.0,alma1,North Pacific Ocean,0.0
202,131,DCM,0.8 to 5,2743,0.0,alma1,North Pacific Ocean,0.0
203,131,DCM,0.8 to 5,44,0.0,alma1,North Pacific Ocean,0.0
204,131,DCM,0.8 to 5,178,3.14e-08,alma1,North Pacific Ocean,31.400000000000002
205,135,SRF,180 to 2000,38,0.0,alma1,North Pacific Ocean,0.0
206,65,SRF,20 to 180,46,1.24e-07,alma1,Indian Ocean,124.0
207,65,SRF,20 to 180,12,1.9e-07,alma1,Indian Ocean,190.0
208,80,SRF,180 to 2000,29,0.0,alma1,Southern Ocean (S of 40S),0.0
209,80,SRF,180 to 2000,38,0.0,alma1,Southern Ocean (S of 40S),0.0
210,64,SRF,0.8 to 5,225,0.0,alma1,Indian Ocean,0.0
211,64,SRF,0.8 to 5,4,4.43e-08,alma1,Indian Ocean,44.3
212,64,SRF,0.8 to 5,66,0.0,alma1,Indian Ocean,0.0
213,64,SRF,0.8 to 5,58,5.62e-08,alma1,Indian Ocean,56.2
214,137,DCM,180 to 2000,332,0.0,alma1,North Pacific Ocean,0.0
215,137,DCM,180 to 2000,44,0.0,alma1,North Pacific Ocean,0.0
216,110,DCM,0.8 to 5,166,0.0,alma1,South Pacific Ocean,0.0
217,110,DCM,0.8 to 5,188,0.0,alma1,South Pacific Ocean,0.0
218,110,DCM,0.8 to 5,58,0.0,alma1,South Pacific Ocean,0.0
219,110,DCM,0.8 to 5,46,3.0399999999999997e-07,alma1,South Pacific Ocean,303.99999999999994
220,110,DCM,0.8 to 5,44,0.0,alma1,South Pacific Ocean,0.0
221,110,DCM,0.8 to 5,179,0.0,alma1,South Pacific Ocean,0.0
222,110,DCM,0.8 to 5,332,0.0,alma1,South Pacific Ocean,0.0
223,110,DCM,0.8 to 5,66,0.0,alma1,South Pacific Ocean,0.0
224,64,DCM,5 to 20,44,0.0,alma1,Indian Ocean,0.0
225,64,DCM,5 to 20,36,1.1900000000000001e-07,alma1,Indian Ocean,119.0
226,64,DCM,5 to 20,58,0.0,alma1,Indian Ocean,0.0
227,18,DCM,0.8 to 5,36,1.69e-07,alma1,Mediterranean Sea,169.0
228,18,DCM,0.8 to 5,178,5.54e-08,alma1,Mediterranean Sea,55.4
229,18,DCM,0.8 to 5,66,0.0,alma1,Mediterranean Sea,0.0
230,150,DCM,5 to 20,2493,2.3800000000000001e-07,alma1,North Atlantic Ocean,238.0
231,150,DCM,5 to 20,1580,9.039999999999999e-08,alma1,North Atlantic Ocean,90.39999999999999
232,150,DCM,5 to 20,1255,0.0,alma1,North Atlantic Ocean,0.0
233,81,DCM,20 to 180,58,2.2200000000000004e-08,alma1,Southern Ocean (S of 40S),22.200000000000003
234,81,DCM,20 to 180,67,0.0,alma1,Southern Ocean (S of 40S),0.0
235,81,DCM,20 to 180,4,0.0,alma1,Southern Ocean (S of 40S),0.0
236,81,DCM,20 to 180,13,0.0,alma1,Southern Ocean (S of 40S),0.0
237,147,SRF,0.8 to 5,178,7.27e-08,alma1,North Atlantic Ocean,72.7
238,147,SRF,0.8 to 5,225,0.0,alma1,North Atlantic Ocean,0.0
239,147,SRF,0.8 to 5,36,4.28e-08,alma1,North Atlantic Ocean,42.8
240,147,SRF,0.8 to 5,76,0.0,alma1,North Atlantic Ocean,0.0
241,147,SRF,0.8 to 5,66,0.0,alma1,North Atlantic Ocean,0.0
242,147,SRF,0.8 to 5,58,1.14e-07,alma1,North Atlantic Ocean,114.0
243,147,SRF,0.8 to 5,2743,0.0,alma1,North Atlantic Ocean,0.0
244,142,SRF,0.8 to 5,36,1.14e-07,alma1,North Atlantic Ocean,114.0
245,142,SRF,0.8 to 5,178,5.42e-08,alma1,North Atlantic Ocean,54.2
246,142,SRF,0.8 to 5,225,0.0,alma1,North Atlantic Ocean,0.0
247,142,SRF,0.8 to 5,2743,0.0,alma1,North Atlantic Ocean,0.0
248,142,SRF,0.8 to 5,66,0.0,alma1,North Atlantic Ocean,0.0
249,142,SRF,0.8 to 5,58,1.2099999999999998e-07,alma1,North Atlantic Ocean,120.99999999999999
250,151,SRF,0.8 to 5,66,0.0,alma1,North Atlantic Ocean,0.0
251,151,SRF,0.8 to 5,2743,0.0,alma1,North Atlantic Ocean,0.0
252,151,SRF,0.8 to 5,178,3.12e-08,alma1,North Atlantic Ocean,31.200000000000003
253,151,SRF,0.8 to 5,2493,6.37e-08,alma1,North Atlantic Ocean,63.699999999999996
254,151,SRF,0.8 to 5,12,3.09e-08,alma1,North Atlantic Ocean,30.9
255,151,SRF,0.8 to 5,58,1.4e-07,alma1,North Atlantic Ocean,140.0
256,151,SRF,0.8 to 5,29,0.0,alma1,North Atlantic Ocean,0.0
257,151,SRF,0.8 to 5,225,0.0,alma1,North Atlantic Ocean,0.0
258,151,SRF,0.8 to 5,36,5.16e-07,alma1,North Atlantic Ocean,516.0
259,150,SRF,0.8 to 5,66,0.0,alma1,North Atlantic Ocean,0.0
260,150,SRF,0.8 to 5,2743,0.0,alma1,North Atlantic Ocean,0.0
261,150,SRF,0.8 to 5,179,0.0,alma1,North Atlantic Ocean,0.0
262,150,SRF,0.8 to 5,44,0.0,alma1,North Atlantic Ocean,0.0
263,150,SRF,0.8 to 5,67,0.0,alma1,North Atlantic Ocean,0.0
264,150,SRF,0.8 to 5,58,1.59e-07,alma1,North Atlantic Ocean,159.0
265,150,SRF,0.8 to 5,225,0.0,alma1,North Atlantic Ocean,0.0
266,150,SRF,0.8 to 5,166,0.0,alma1,North Atlantic Ocean,0.0
267,150,SRF,0.8 to 5,36,1.31e-07,alma1,North Atlantic Ocean,131.0
268,51,DCM,0.8 to 5,225,0.0,alma1,Indian Ocean,0.0
269,51,DCM,0.8 to 5,166,0.0,alma1,Indian Ocean,0.0
270,51,DCM,0.8 to 5,36,3.24e-07,alma1,Indian Ocean,324.0
271,51,DCM,0.8 to 5,188,0.0,alma1,Indian Ocean,0.0
272,51,DCM,0.8 to 5,67,7.44e-08,alma1,Indian Ocean,74.4
273,51,DCM,0.8 to 5,58,2.12e-07,alma1,Indian Ocean,212.0
274,51,DCM,0.8 to 5,178,1.14e-06,alma1,Indian Ocean,1140.0
275,51,DCM,0.8 to 5,44,0.0,alma1,Indian Ocean,0.0
276,51,DCM,0.8 to 5,13,7.44e-08,alma1,Indian Ocean,74.4
277,51,DCM,0.8 to 5,66,0.0,alma1,Indian Ocean,0.0
278,51,DCM,0.8 to 5,179,0.0,alma1,Indian Ocean,0.0
279,51,DCM,0.8 to 5,332,0.0,alma1,Indian Ocean,0.0
280,135,DCM,0.8 to 5,188,0.0,alma1,North Pacific Ocean,0.0
281,135,DCM,0.8 to 5,166,0.0,alma1,North Pacific Ocean,0.0
282,135,DCM,0.8 to 5,36,2.64e-07,alma1,North Pacific Ocean,264.0
283,135,DCM,0.8 to 5,58,3.3100000000000004e-07,alma1,North Pacific Ocean,331.00000000000006
284,135,DCM,0.8 to 5,44,0.0,alma1,North Pacific Ocean,0.0
285,135,DCM,0.8 to 5,24,0.0,alma1,North Pacific Ocean,0.0
286,135,DCM,0.8 to 5,66,0.0,alma1,North Pacific Ocean,0.0
287,135,DCM,0.8 to 5,332,0.0,alma1,North Pacific Ocean,0.0
288,135,DCM,0.8 to 5,179,0.0,alma1,North Pacific Ocean,0.0
289,70,SRF,20 to 180,46,4.4900000000000005e-08,alma1,South Atlantic Ocean,44.900000000000006
290,70,SRF,20 to 180,58,0.0,alma1,South Atlantic Ocean,0.0
291,70,SRF,20 to 180,2493,2.7900000000000002e-08,alma1,South Atlantic Ocean,27.900000000000002
292,70,SRF,20 to 180,44,0.0,alma1,South Atlantic Ocean,0.0
293,70,SRF,20 to 180,12,1.05e-07,alma1,South Atlantic Ocean,105.0
294,52,SRF,180 to 2000,2493,7.95e-08,alma1,Indian Ocean,79.5
295,52,SRF,180 to 2000,44,0.0,alma1,Indian Ocean,0.0
296,52,SRF,180 to 2000,13,3.6e-08,alma1,Indian Ocean,36.0
297,52,SRF,180 to 2000,4,0.0,alma1,Indian Ocean,0.0
298,52,SRF,180 to 2000,38,0.0,alma1,Indian Ocean,0.0
299,52,SRF,180 to 2000,112,2.5e-08,alma1,Indian Ocean,25.0
300,102,SRF,180 to 2000,332,0.0,alma1,South Pacific Ocean,0.0
301,102,SRF,180 to 2000,44,0.0,alma1,South Pacific Ocean,0.0
302,100,DCM,180 to 2000,2493,4.3e-08,alma1,South Pacific Ocean,43.0
303,100,DCM,180 to 2000,44,0.0,alma1,South Pacific Ocean,0.0
304,100,DCM,180 to 2000,332,0.0,alma1,South Pacific Ocean,0.0
305,100,DCM,20 to 180,332,0.0,alma1,South Pacific Ocean,0.0
306,100,DCM,20 to 180,44,0.0,alma1,South Pacific Ocean,0.0
307,100,DCM,20 to 180,12,1.2199999999999998e-07,alma1,South Pacific Ocean,121.99999999999999
308,146,SRF,5 to 20,1255,0.0,alma1,North Atlantic Ocean,0.0
309,146,SRF,5 to 20,1580,1.13e-07,alma1,North Atlantic Ocean,113.0
310,146,SRF,5 to 20,2493,1.36e-07,alma1,North Atlantic Ocean,136.0
311,72,SRF,20 to 180,46,1.3e-07,alma1,South Atlantic Ocean,130.0
312,123,SRF,0.8 to 5,13,2.36e-08,alma1,South Pacific Ocean,23.599999999999998
313,123,SRF,0.8 to 5,44,0.0,alma1,South Pacific Ocean,0.0
314,123,SRF,0.8 to 5,2743,0.0,alma1,South Pacific Ocean,0.0
315,123,SRF,0.8 to 5,76,0.0,alma1,South Pacific Ocean,0.0
316,123,SRF,0.8 to 5,66,0.0,alma1,South Pacific Ocean,0.0
317,123,SRF,0.8 to 5,36,0.0,alma1,South Pacific Ocean,0.0
318,123,SRF,0.8 to 5,225,0.0,alma1,South Pacific Ocean,0.0
319,123,SRF,0.8 to 5,58,1.71e-07,alma1,South Pacific Ocean,171.0
320,23,SRF,20 to 180,12,3.67e-08,alma1,Mediterranean Sea,36.699999999999996
321,23,SRF,20 to 180,13,2.4199999999999998e-08,alma1,Mediterranean Sea,24.2
322,23,SRF,20 to 180,35,3.98e-08,alma1,Mediterranean Sea,39.8
323,23,SRF,20 to 180,38,0.0,alma1,Mediterranean Sea,0.0
324,128,DCM,20 to 180,46,2.12e-07,alma1,North Pacific Ocean,212.0
325,128,DCM,20 to 180,332,0.0,alma1,North Pacific Ocean,0.0
326,128,DCM,20 to 180,179,0.0,alma1,North Pacific Ocean,0.0
327,128,DCM,20 to 180,44,0.0,alma1,North Pacific Ocean,0.0
328,128,DCM,20 to 180,166,0.0,alma1,North Pacific Ocean,0.0
329,102,DCM,20 to 180,332,0.0,alma1,South Pacific Ocean,0.0
330,102,DCM,20 to 180,44,0.0,alma1,South Pacific Ocean,0.0
